id,id_tiempo,id_territorio,id_tipo_delito,coneguts,resolts,detencions
645,13,23,33,3,3,0
646,13,23,14,1,1,1
647,13,23,15,314,54,1
648,13,23,35,3,3,0
649,13,23,16,29,23,2
650,13,24,1,3,2,0
651,13,24,2,1,0,0
652,13,24,17,11,8,7
653,13,24,18,2,2,0
654,13,24,19,5,3,0
655,13,24,3,13,4,0
656,13,24,4,19,3,5
657,13,24,60,0,0,1
658,13,24,20,82,6,9
659,13,24,49,1,1,0
660,13,24,21,72,5,5
661,13,24,22,41,1,1
662,13,24,23,93,15,7
663,13,24,24,61,25,0
664,13,24,43,1,0,0
665,13,24,5,2,2,1
666,13,24,26,2,3,3
667,13,24,9,0,1,1
668,13,24,10,0,0,1
669,13,24,29,2,2,1
670,13,24,12,1,1,0
671,13,24,30,12,12,0
672,13,24,31,14,14,13
673,13,24,33,2,3,0
674,13,24,14,1,0,0
675,13,24,45,1,1,0
676,13,24,15,286,29,1
677,13,24,34,1,1,0
678,13,24,35,2,2,0
679,13,24,16,28,23,1
680,13,25,1,1,0,0
681,13,25,46,1,1,1
682,13,25,42,2,0,0
683,13,25,17,3,3,3
684,13,25,18,0,0,2
685,13,25,19,1,1,0
686,13,25,3,18,1,1
687,13,25,4,17,2,2
688,13,25,60,0,0,1
689,13,25,20,51,4,2
690,13,25,49,3,3,2
691,13,25,21,91,15,1
692,13,25,22,26,1,0
693,13,25,23,46,12,5
694,13,25,24,33,13,1
695,13,25,6,0,0,1
696,13,25,26,2,2,2
697,13,25,38,0,0,2
698,13,25,9,0,1,0
699,13,25,10,9,9,3
700,13,25,44,1,2,0
701,13,25,29,1,2,0
702,13,25,13,0,1,0
703,13,25,30,5,5,0
704,13,25,31,12,12,10
705,13,25,32,1,1,0
706,13,25,55,1,1,0
707,13,25,33,1,1,0
708,13,25,14,2,1,1
709,13,25,15,247,13,2
710,13,25,35,5,5,0
711,13,25,16,19,14,1
712,13,26,67,1,1,0
713,13,26,2,3,2,2
714,13,26,46,0,1,0
715,13,26,42,2,2,0
716,13,26,17,9,10,9
717,13,26,18,7,8,2
718,13,26,19,1,1,0
719,13,26,3,21,3,1
720,13,26,4,11,0,0
721,13,26,20,31,3,1
722,13,26,48,4,3,0
723,13,26,49,1,1,2
724,13,26,21,64,9,9
725,13,26,22,36,2,1
726,13,26,23,67,16,7
727,13,26,24,44,21,5
728,13,26,5,0,1,0
729,13,26,26,2,2,5
730,13,26,38,1,1,0
731,13,26,9,1,1,0
732,13,26,10,10,10,4
733,13,26,44,1,1,1
734,13,26,28,1,0,0
735,13,26,29,2,2,1
736,13,26,30,5,5,0
737,13,26,31,2,2,4
738,13,26,33,4,4,0
739,13,26,14,3,3,4
740,13,26,15,201,21,0
741,13,26,16,51,41,0
742,13,27,1,2,1,0
